Date,Description,Amount,Currency
2020-09-25,ATLASSIAN,623.8,USD
2020-09-26,BUENO TECHNOLOGIES INC,8,USD
2020-09-27,INTUIT QUICKBOOKS,42.64,USD
2020-09-28,PayPal,33.23,USD
2020-09-29,FRESHWORKS INC,116,USD
2020-09-30,RUSTICI SOFTWARE,626.04,USD
2020-10-01,KALTURA,10500,USD
2020-10-02,FIGMA INC.,60,USD
2020-10-03,KALTURA,10000,USD
2020-10-04,CENTER CENTRE INC,29,USD
2020-10-05,New Relic,2411,USD
2020-10-06,CHARGE.ELASTIC.CO,804.87,USD
2020-10-07,84CODES*CLOUDAMQP.COM,99,USD
2020-10-08,MONGODB LTD,1032.56,USD
2020-10-09,PayPal,29,USD
2020-10-10,PUSHY,3.02,USD
2020-10-11,INSTABUG,209,USD
2020-10-12,PayPal,1164.87,USD
2020-10-13,ZEPLIN INC.,100,USD
2020-10-14,PayPal,29.95,USD
2020-10-15,BROWSERSTACK INC,129,USD
2020-10-16,101DOMAINGRS LTD,3.99,USD
2020-10-17,101DOMAINGRS LTD,171.96,USD
2020-10-18,PLURALSIGHT,29,USD
2020-10-19,LARACASTS,9,USD
2020-10-20,POSTMARK,75,USD
2020-10-21,SENTRY,80,USD
2020-10-22,STOPLIGHT INC,96.16,USD
2020-10-23,FRESHWORKS INC,75,USD
2020-10-24,WISH.COM             SAN FRANCISCO      CA,3.85,USD
2020-10-25,ATLASSIAN,595.9,USD
2020-10-26,BUENO TECHNOLOGIES INC,8,USD
2020-10-27,INTUIT QUICKBOOKS,42.64,USD
2020-10-28,INTUIT PAYROLL       888-537-7794       CA,59.7,USD
2020-10-29,New Relic,2411,USD
2020-10-30,FRESHWORKS INC,116,USD
2020-10-31,RUSTICI SOFTWARE,865.62,USD
2020-11-01,PayPal,66.46,USD
2020-11-02,FIGMA INC.,60,USD
2020-11-03,SEMRUSH.COM,99.95,USD
2020-11-04,CENTER CENTRE INC,29,USD
2020-11-05,MONGODB LTD,686.85,USD
2020-11-06,PayPal,29,USD
2020-11-07,PUSHY,3.65,USD
2020-11-08,WIRECARD,780.24,USD
2020-11-09,PayPal,523.87,USD
2020-11-10,INSTABUG,249,USD
2020-11-11,ZEPLIN INC.,100,USD
2020-11-12,PayPal,29.95,USD
2020-11-13,BROWSERSTACK INC,129,USD
2020-11-14,Pluralsight,29,USD
2020-11-15,SENTRY,51,USD
2020-11-16,LARACASTS,9,USD
2020-11-17,SENTRY,70.65,USD
2020-11-18,STOPLIGHT INC,145,USD
2020-11-19,FRESHWORKS INC,75,USD
2020-11-20,ATLASSIAN,568,USD
2020-11-21,BUENO TECHNOLOGIES INC,8,USD
2020-11-22,INTUIT QUICKBOOKS,42.64,USD
2020-11-23,PayPal,311.83,USD
2020-11-24,HUBSPOT ASIA PTE LTD,13482,USD
2020-11-25,FRESHWORKS INC,116,USD
2020-11-26,RUSTICI SOFTWARE,1054.05,USD
2020-11-27,FIGMA INC.,60,USD
2020-11-28,CENTER CENTRE INC,29,USD
2020-11-29,HUBSPOT ASIA PTE LTD,1027.2,USD
2020-11-30,WIRECARD BANK AG,99,USD
2020-12-01,New Relic,2411,USD
2020-12-02,TYPEFORM S.L,70,USD
2020-12-03,WIRECARD,793.71,USD
2020-12-04,MONGODB LTD,710.57,USD
2020-12-05,PayPal,29,USD
2020-12-06,PUSHY,4.04,USD
2020-12-07,INSTABUG,249,USD
2020-12-08,PayPal,454.87,USD
2020-12-09,ZEPLIN INC.,100,USD
2020-12-10,PayPal,29.95,USD
2020-12-11,BROWSERSTACK INC,129,USD
2020-12-12,Pluralsight,29,USD
2020-12-13,LARACASTS,9,USD
2020-12-14,SENTRY,37.98,USD
2020-12-15,STOPLIGHT INC,145,USD
2020-12-16,FRESHWORKS INC,75,USD
2020-12-17,ATLASSIAN,568,USD
2020-12-18,BUENO TECHNOLOGIES INC,8,USD
2020-12-19,INTUIT QUICKBOOKS,42.64,USD
2020-12-20,FRESHWORKS INC,116,USD
2020-12-21,RUSTICI SOFTWARE,944.82,USD
2020-12-22,FIGMA INC.,30,USD
2020-12-23,New Relic,2411,USD
2020-12-24,CENTER CENTRE INC,29,USD
2020-12-25,STRIPE,70,USD
2020-12-26,WIRECARD,760.81,USD
2020-12-27,STRIPE,613.72,USD
2020-12-28,PayPal,29,USD
2020-12-29,PUSHY,4.41,USD
2020-12-30,INSTABUG,249,USD
2020-12-31,PayPal,456.87,USD
2021-01-01,ZEPLIN INC.,100,USD
2021-01-02,PayPal,29.95,USD
2021-01-03,BROWSERSTACK INC,129,USD
2021-01-04,MERCADOPAGO COLOMBIA,9.62,USD
2021-01-05,MERCADOPAGO COLOMBIA,9.62,USD
2021-01-06,PAYPAL,66,USD
2021-01-07,Pluralsight,29,USD
2021-01-08,LARACASTS,9,USD
2021-01-09,POSTMARK,75,USD
2021-01-10,SENTRY,29,USD
2021-01-11,STOPLIGHT INC,170.64,USD
2021-01-12,APPLE ONLINE USA     CUPERTINO          CA,299,USD
2021-01-13,FRESHWORKS INC,75,USD
2021-01-14,ATLASSIAN,623.8,USD
2021-01-15,BUENO TECHNOLOGIES INC,8,USD
2021-01-16,INTUIT QUICKBOOKS,21.32,USD
2021-01-17,FRESHWORKS INC,116,USD
2021-01-18,RUSTICI SOFTWARE,538.92,USD
2021-01-19,FIGMA INC.,60,USD
2021-01-20,CENTER CENTRE INC,29,USD
2021-01-21,STOPLIGHT.IO         AUSTIN             TX,-74.31,USD
2021-01-22,LINKEDIN SG - ONLINE - USD,10.7,USD
2021-01-23,New Relic,2411,USD
2021-01-24,STRIPE,70,USD
2021-01-25,WIRECARD BANK AG,99,USD
2021-01-26,STRIPE,511.33,USD
2021-01-27,PayPal,29,USD
2021-01-28,PUSHY,4.28,USD
2021-01-29,WIRECARD,855.93,USD
2021-01-30,PayPal,419.87,USD
2021-01-31,INSTABUG,249,USD
2021-02-01,ZEPLIN INC.,100,USD
2021-02-02,STOPLIGHT,88,USD
2021-02-03,PayPal,29.95,USD
2021-02-04,BROWSERSTACK INC,129,USD
2021-02-05,STRIPE,8686.83,USD
2021-02-06,LINKEDIN SG - ONLINE - USD,38.97,USD
2021-02-07,Pluralsight,29,USD
2021-02-08,RECRUITERBOX INC.,3000,USD
2021-02-09,LARACASTS,9,USD
2021-02-10,PRIVATE INTERNET ACCESS INC.,39.95,USD
2021-02-11,SENTRY,30,USD
2021-02-12,STOPLIGHT INC,116,USD
2021-02-13,FRESHWORKS INC,75,USD
2021-02-14,LINKEDIN SG - ONLINE - USD,123.8,USD
2021-02-15,ATLASSIAN,856.3,USD
2021-02-16,BUENO TECHNOLOGIES INC,8,USD
2021-02-17,INTUIT QUICKBOOKS,21.32,USD
2021-02-18,PayPal,366.28,USD
2021-02-19,PayPal,229.99,USD
2021-02-20,LINKEDIN SG - ONLINE - USD,44.73,USD
2021-02-21,FRESHWORKS INC,116,USD
2021-02-22,RUSTICI SOFTWARE,360.72,USD
2021-02-23,FIGMA INC.,60,USD
2021-02-24,CENTER CENTRE INC,29,USD
2021-02-25,WIRECARD BANK AG,99,USD
2021-02-26,New Relic,1221.49,USD
2021-02-27,STRIPE,70,USD
2021-02-28,ZEPLIN INC.,100,USD
2021-03-01,WIRECARD,964.22,USD
2021-03-02,STRIPE,441.32,USD
2021-03-03,PayPal,29,USD
2021-03-04,PUSHY,4.85,USD
2021-03-05,INSTABUG,249,USD
2021-03-06,PayPal,417.87,USD
2021-03-07,STOPLIGHT,88,USD
2021-03-08,New Relic,1475,USD
2021-03-09,PayPal,29.95,USD
2021-03-10,BROWSERSTACK INC,129,USD
2021-03-11,IAF,100,USD
2021-03-12,POSTMARK,75,USD
2021-03-13,Pluralsight,29,USD
2021-03-14,LARACASTS,9,USD
2021-03-15,SENTRY,29,USD
2021-03-16,FS *AHREFS.COM       877-327-8914       CA,7,USD
2021-03-17,STOPLIGHT INC,116,USD
2021-03-18,FRESHWORKS INC,75,USD
2021-03-19,INTUIT QUICKBOOKS,21.32,USD
2021-03-20,ATLASSIAN,856.3,USD
2021-03-21,BUENO TECHNOLOGIES INC,38,USD
2021-03-22,Amazon Marketplace,1509.99,USD
2021-03-23,FRESHWORKS INC,116,USD
2021-03-24,RUSTICI SOFTWARE,310.56,USD
2021-03-25,BUENO TECHNOLOGIES INC,30,USD
2021-03-26,FIGMA INC.,15,USD
2021-03-27,STRIPE,672,USD
2021-03-28,WIRECARD BANK AG,71.51,USD
2021-03-29,CENTER CENTRE INC,29,USD
2021-03-30,STRIPE,70,USD
2021-03-31,ZEPLIN INC.,100,USD
2021-04-01,WIRECARD,878.4,USD
2021-04-02,STRIPE,427.12,USD
2021-04-03,PayPal,29,USD
2021-04-04,PUSHY,5.71,USD
2021-04-05,INSTABUG,249,USD
2021-04-06,PayPal,463.87,USD
2021-04-07,STOPLIGHT,88,USD
2021-04-08,New Relic,1475,USD
2021-04-09,PayPal,29.95,USD
2021-04-10,BROWSERSTACK INC,129,USD
2021-04-11,Pluralsight,29,USD
2021-04-12,LARACASTS,9,USD
2021-04-13,SENTRY,29,USD
2021-04-14,FRESHWORKS INC,75,USD
2021-04-15,ATLASSIAN,647,USD
2021-04-16,BUENO TECHNOLOGIES INC,38,USD
2021-04-17,PAYPAL,58,USD
2021-04-18,FRESHWORKS INC,116,USD
2021-04-19,RUSTICI SOFTWARE,368.97,USD
2021-04-20,PayPal,66.46,USD
2021-04-21,WIRECARD,699.58,USD
2021-04-22,CENTER CENTRE INC,29,USD
2021-04-23,STRIPE,70,USD
2021-04-24,STRIPE,441.55,USD
2021-04-25,PayPal,29,USD
2021-04-26,PUSHY,7.33,USD
2021-04-27,INSTABUG,249,USD
2021-04-28,PayPal,573.87,USD
2021-04-29,ZEPLIN INC.,100,USD
2021-04-30,STOPLIGHT,88,USD
2021-05-01,New Relic,1475,USD
2021-05-02,PayPal,29.95,USD
2021-05-03,BROWSERSTACK INC,129,USD
2021-05-04,Pluralsight,29,USD
2021-05-05,AMAZON.COM*MW45Q8ZK2 AMZN.COM/BILL      WA,1163.9,USD
2021-05-06,LARACASTS,9,USD
2021-05-07,SENTRY,29,USD
2021-05-08,Shutterstock.com 866-663-3954,39,USD
2021-05-09,FRESHWORKS INC,75,USD
2021-05-10,ATLASSIAN,619,USD
2021-05-11,BUENO TECHNOLOGIES INC,38,USD
2021-05-12,PAYPAL,58,USD
2021-05-13,FRESHWORKS INC,116,USD
2021-05-14,RUSTICI SOFTWARE,366.33,USD
2021-05-15,WIRECARD,631.88,USD
2021-05-16,CENTER CENTRE INC,29,USD
2021-05-17,STRIPE,70,USD
2021-05-18,POSTMARK,75,USD
2021-05-19,HUBSPOT ASIA PTE LTD,13482,USD
2021-05-20,STRIPE,398.42,USD
2021-05-21,PayPal,29,USD
2021-05-22,PayPal,501.87,USD
2021-05-23,INSTABUG,249,USD
2021-05-24,New Relic,1475,USD
2021-05-25,PayPal,29.95,USD
2021-05-26,PUSHY,6.95,USD
2021-05-27,STOPLIGHT,88,USD
2021-05-28,ZEPLIN INC.,100,USD
2021-05-29,BROWSERSTACK INC,129,USD
2021-05-30,PAYPAL *UNITYTECHNO,147.5,USD
2021-05-31,Pluralsight,29,USD
2021-06-01,LARACASTS,9,USD
2021-06-02,SENTRY,129,USD
2021-06-03,FRESHWORKS INC,75,USD
2021-06-04,ATLASSIAN,619,USD
2021-06-05,BUENO TECHNOLOGIES INC,38,USD
2021-06-06,PAYPAL,58,USD
2021-06-07,FRESHWORKS INC,116,USD
2021-06-08,RUSTICI SOFTWARE,372.27,USD
2021-06-09,PAYPAL,198,USD
2021-06-10,CENTER CENTRE INC,29,USD
2021-06-11,STRIPE,70,USD
2021-06-12,PayPal,29,USD
2021-06-13,STRIPE,441.18,USD
2021-06-14,PUSHY,7.92,USD
2021-06-15,WIRECARD,460.72,USD
2021-06-16,INSTABUG,249,USD
2021-06-17,PayPal,470.87,USD
2021-06-18,ZEPLIN INC.,100,USD
2021-06-19,STOPLIGHT,88,USD
2021-06-20,New Relic,1475,USD
2021-06-21,PayPal,29.95,USD
2021-06-22,BROWSERSTACK INC,129,USD
2021-06-23,EGGHEAD IO LLC,49.99,USD
2021-06-24,PAYPAL *UNITYTECHNO,147.5,USD
2021-06-25,Pluralsight,29,USD
2021-06-26,LARACASTS,9,USD
2021-06-27,SENTRY,129,USD
2021-06-28,POSTMARK,75,USD
2021-06-29,FRESHWORKS INC,75,USD
2021-06-30,STRIPE,51.05,USD
2021-07-01,ATLASSIAN,598,USD
2021-07-02,BUENO TECHNOLOGIES INC,38,USD
2021-07-03,PayPal,58,USD
2021-07-04,FRESHWORKS INC,116,USD
2021-07-05,RUSTICI SOFTWARE,329.04,USD
2021-07-06,CENTER CENTRE INC,29,USD
2021-07-07,STRIPE,70,USD
2021-07-08,STRIPE,441.32,USD
2021-07-09,PUSHY,8.01,USD
2021-07-10,WIRECARD,338,USD
2021-07-11,PUSHY*PUSHY PRO Sheridan,25.55,SGD
2021-07-12,CALENDLY ATLANTA,14.52,SGD
2021-07-13,Quickbooks Online London,42.8,SGD
2021-07-14,PAYPAL *MONGODBLTD 0876412056,1482.32,SGD
2021-07-15,FASTSPRING BV*FS *SNOVI AMSTERDAM,204,SGD
2021-07-16,PAYPAL *MONGODBLTD 0876412056,158.38,SGD
2021-07-17,PUSHY*PUSHY PRO Sheridan,24.64,SGD
2021-07-18,CALENDLY ATLANTA,14.71,SGD
2021-07-19,Quickbooks Online London,42.8,SGD
2021-07-20,MIXPANEL INC. SAN FRANCISCO,221.6,SGD
2021-07-21,BITEABLE PTY LTD HOBART,42.84,SGD
2021-07-22,FRESHWORKS INC SAN BRUNO,169.49,SGD
2021-07-23,RUSTICI SOFTWARE-SCORM FRANKLIN,818.78,SGD
2021-07-24,FRESHWORKS INC SAN BRUNO,65.25,SGD
2021-07-25,101DOMAIN 760-444-8674,473.4,SGD
2021-07-26,BRANDON HALL GROUP INC SAN JOSE,840.57,SGD
2021-07-27,Quickbooks Online London,34.92,SGD
2021-07-28,ZOOM Zoom SAN JOSE  117.68 USD  30 Jun STORE NAME: PO #: P-30097154 ,117.68,USD
2021-07-29,PLURALSIGHT FARMINGTON  31.03 USD  01 Jul ,31.03,USD
2021-07-30,ZEPLIN INC. SAN FRANCISCO  29.00 USD  30 Jun ,29,USD
2021-07-31,PUSHY*PUSHY PRO Sheridan  17.59 USD  01 Jul ,17.59,USD
2021-08-01,MONGODBCLOUD KNOLSKAPE DUBLIN  72.03 USD  02 Jul ,72.03,USD
2021-08-02,MIXPANEL INC. SAN FRANCISCO  150.00 USD  04 Jul ,150,USD
2021-08-03,101DOMAIN 760-444-8674  56.99 USD  05 Jul ,56.99,USD
2021-08-04,ELASTIC CLOUD ASKER  832.41 USD  07 Jul ,832.41,USD
2021-08-05,FIGMA MONTHLY RENEWAL SAN FRANCISCO  75.00 USD  07 Jul ,75,USD
2021-08-06,FRESHWORKS INC SAN BRUNO  116.00 USD  10 Jul ,116,USD
2021-08-07,RUSTICI SOFTWARE-SCORM FRANKLIN  1060.65 USD  10 Jul ITEM PURCHASED: BUSINESS SERVICES QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ,1060.65,USD
2021-08-08,FRESHWORKS INC SAN BRUNO  45.00 USD  11 Jul ,45,USD
2021-08-09,BROWSERSTACK.COM LEWES  39.00 USD  12 Jul ,39,USD
2021-08-10,APPLE.COM/US CUPERTINO  299.00 USD  14 Jul STORE NAME: PO #: 7204001077 ,299,USD
2021-08-11,LINKEDIN SINGAPORE  14 Jul ,75000,INR
2021-08-12,Atlassian San Francisco  484.30 USD  15 Jul STORE NAME: Online Software Provider PO #: ITEM PURCHASED: AT-106484287 QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ,484.3,USD
2021-08-13,CALLHIPPO.COM - TELEPH NEWARK  8.00 USD  15 Jul ,8,USD
2021-08-14,INT*QUICKBOOKS ONLINE 800-446-8848  42.64 USD  16 Jul STORE NAME: PO #: IGS_110621362111 ,42.64,USD
2021-08-15,SENTRY SAN FRANCISCO  80.00 USD  20 Jul ,80,USD
2021-08-16,TYPEFORM S.L BARCELONA  70.00 USD  20 Jul ,70,USD
2021-08-17,STOPLIGHT.IO AUSTIN  87.00 USD  20 Jul ,87,USD
2021-08-18,ZEPLIN INC. SAN FRANCISCO  29.00 USD  03 Jun ,29,USD
2021-08-19,84codes*cloudamqp.com Stockholm  99.00 USD  03 Jun ,99,USD
2021-08-20,GRAMMARLY CO*ERPVHYP SAN FANCISCO  29.95 USD  03 Jun ,29.95,USD
2021-08-21,PLURALSIGHT FARMINGTON  30.02 USD  04 Jun ,30.02,USD
2021-08-22,PUSHY*PUSHY PRO Sheridan  18.61 USD  03 Jun ,18.61,USD
2021-08-23,charge.elastic.co Elasticsearch  838.02 USD  03 Jun ,838.02,USD
2021-08-24,LINKEDIN SG - ONLINE - SINGAPORE  05 Jun LINKEDIN-5624790414 lnkd.in/bill ,10129.32,INR
2021-08-25,Quickbooks Online London  103.88 MYR  05 Jun ,103.88,MYR
2021-08-26,FIGMA MONTHLY RENEWAL SAN FRANCISCO  75.00 USD  11 Jun ,75,USD
2021-08-27,FRESHWORKS INC SAN BRUNO  116.00 USD  11 Jun ,116,USD
2021-08-28,MIXPANEL INC. SAN FRANCISCO  150.00 USD  11 Jun ,150,USD
2021-08-29,RUSTICI SOFTWARE-SCORM FRANKLIN  2261.52 USD  10 Jun ITEM PURCHASED: BUSINESS SERVICES QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ,2261.52,USD
2021-08-30,BROWSERSTACK.COM LEWES  39.00 USD  12 Jun ,39,USD
2021-08-31,FRESHWORKS INC SAN BRUNO  45.00 USD  11 Jun ,45,USD
2021-09-01,Atlassian San Francisco  502.90 USD  15 Jun ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 STORE NAME: Online Software Provider PO #: ITEM PURCHASED: AT-103845153 QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ,502.9,USD
2021-09-02,MONGODBCLOUD KNOLSKAPE DUBLIN  1004.41 USD  15 Jun ,1004.41,USD
2021-09-03,MONGODBCLOUD KNOLSKAPE DUBLIN  107.70 USD  15 Jun ,107.7,USD
2021-09-04,POLL EVERYWHERE INC SAN FRANCISCO  120.00 USD  16 Jun OTHER SERVICES ,120,USD
2021-09-05,ZOOM Zoom SAN JOSE  109.89 USD  18 Jun STORE NAME: PO #: P-27784152 ,109.89,USD
2021-09-06,CALLHIPPO.COM - TELEPH NEWARK  8.00 USD  18 Jun ,8,USD
2021-09-07,STOPLIGHT.IO AUSTIN  87.00 USD  18 Jun ,87,USD
2021-09-08,TYPEFORM S.L BARCELONA  70.00 USD  18 Jun ,70,USD
2021-09-09,SENTRY SAN FRANCISCO  80.00 USD  20 Jun ,80,USD
2021-09-10,PRIVATEINTERNETACCESS GREENWOOD VILLA  39.95 USD  22 Jun ,39.95,USD
2021-09-11,Quickbooks Online London  31.16 MYR  24 Jun ,31.16,MYR
2021-09-12,SLACK T029DU286 DUBLIN  1377.17 USD  23 Jun ,1377.17,USD
2021-09-13,POSTMARK EMAIL CREDITS PHILADELPHIA  75.00 USD  25 Jun ,75,USD
2021-09-14,GRAMMARLY CO*ZDCZJTB SAN FANCISCO  29.95 USD  27 Jun ,29.95,USD
2021-09-15,MONGODBCLOUD KNOLSKAPE DUBLIN  1003.99 USD  29 Jun ,1003.99,USD
